colony_id,spp_code,growth_form,log_area_cm2,mortality,year
145,AL,corymbose,-3.490860238,0,3_4
146,AL,corymbose,-3.791453703,0,3_4
147,AL,corymbose,-3.368347402,0,3_4
148,AL,corymbose,-3.605927143,0,3_4
150,AL,corymbose,-3.678869366,1,3_4
151,AL,corymbose,-3.183856568,0,3_4
152,AL,corymbose,-3.210778771,0,3_4
153,AL,corymbose,-3.342870995,1,3_4
154,AL,corymbose,-3.468086213,0,3_4
155,AL,corymbose,-3.447439315,0,3_4
156,AL,corymbose,-4.238348686,0,3_4
157,AL,corymbose,-1.962764121,0,3_4
189,AL,corymbose,-2.129509929,0,3_4
127,AL,corymbose,-3.466392152,0,4_5
128,AL,corymbose,-1.922194547,0,4_5
129,AL,corymbose,-3.755547355,0,4_5
130,AL,corymbose,-2.951346073,0,4_5
132,AL,corymbose,-5.190927214,0,4_5
133,AL,corymbose,-3.005386477,0,4_5
134,AL,corymbose,-3.430073603,0,4_5
135,AL,corymbose,-3.04309273,0,4_5
136,AL,corymbose,-2.830376174,0,4_5
137,AL,corymbose,-3.513377699,0,4_5
138,AL,corymbose,-5.356204515,0,4_5
139,AL,corymbose,-2.871869236,0,4_5
140,AL,corymbose,-2.386809014,0,4_5
141,AL,corymbose,-3.534909662,0,4_5
142,AL,corymbose,-3.47458254,0,4_5
143,AL,corymbose,-4.015780852,1,4_5
144,AL,corymbose,-3.42263145,1,4_5
145,AL,corymbose,-3.448830903,0,4_5
146,AL,corymbose,-3.18859339,0,4_5
147,AL,corymbose,-3.415994383,0,4_5
148,AL,corymbose,-3.41304729,0,4_5
151,AL,corymbose,-3.138051112,0,4_5
152,AL,corymbose,-2.909897547,0,4_5
154,AL,corymbose,-2.896295038,0,4_5
155,AL,corymbose,-3.483278406,0,4_5
156,AL,corymbose,-3.636531103,0,4_5
157,AL,corymbose,-1.679331875,0,4_5
158,AL,corymbose,-3.809711246,0,4_5
127,AL,corymbose,-3.431025843,1,5_6
128,AL,corymbose,-2.699806214,1,5_6
129,AL,corymbose,-3.78815173,1,5_6
130,AL,corymbose,-2.813568715,0,5_6
132,AL,corymbose,-5.423444795,1,5_6
133,AL,corymbose,-3.307904647,0,5_6
134,AL,corymbose,-3.36153399,0,5_6
135,AL,corymbose,-2.597682553,0,5_6
136,AL,corymbose,-2.344545885,0,5_6
137,AL,corymbose,-3.460057378,1,5_6
138,AL,corymbose,-6.863477636,1,5_6
139,AL,corymbose,-2.515339271,0,5_6
140,AL,corymbose,-2.441522695,0,5_6
141,AL,corymbose,-3.473729716,0,5_6
142,AL,corymbose,-3.184011055,0,5_6
145,AL,corymbose,-3.33640897,0,5_6
146,AL,corymbose,-2.849679276,0,5_6
147,AL,corymbose,-3.385836889,0,5_6
148,AL,corymbose,-3.323344307,0,5_6
151,AL,corymbose,-3.218097647,0,5_6
152,AL,corymbose,-2.5644713,0,5_6
154,AL,corymbose,-2.350300164,0,5_6
155,AL,corymbose,-3.312064788,0,5_6
156,AL,corymbose,-3.278185653,0,5_6
157,AL,corymbose,-1.444779203,0,5_6
158,AL,corymbose,-3.577783465,0,5_6
159,AL,corymbose,-2.814364174,0,5_6
189,AL,corymbose,-2.116300937,1,5_6
160,AM,corymbose,-3.427419129,0,3_4
161,AM,corymbose,-3.964137648,0,3_4
163,AM,corymbose,-3.682131074,0,3_4
164,AM,corymbose,-5.144649963,0,3_4
165,AM,corymbose,-3.814404505,0,3_4
166,AM,corymbose,-3.661056905,0,3_4
167,AM,corymbose,-2.951347,0,3_4
168,AM,corymbose,-3.647658638,0,3_4
169,AM,corymbose,-3.017333501,0,3_4
170,AM,corymbose,-2.829686781,0,3_4
171,AM,corymbose,-2.086392949,1,3_4
172,AM,corymbose,-3.605482378,0,3_4
173,AM,corymbose,-2.885470027,0,3_4
174,AM,corymbose,-2.06464919,0,3_4
175,AM,corymbose,-4.28687693,0,3_4
176,AM,corymbose,-6.295200067,1,3_4
177,AM,corymbose,-3.244052813,0,3_4
178,AM,corymbose,-3.518491098,0,3_4
179,AM,corymbose,-3.50671957,0,3_4
180,AM,corymbose,-3.702158179,1,3_4
181,AM,corymbose,-2.980288301,1,3_4
182,AM,corymbose,-4.643452133,0,3_4
183,AM,corymbose,-4.327433095,0,3_4
184,AM,corymbose,-4.423062654,0,3_4
185,AM,corymbose,-3.957734903,0,3_4
186,AM,corymbose,-3.983542407,0,3_4
187,AM,corymbose,-3.712944069,0,3_4
188,AM,corymbose,-3.340830622,0,3_4
160,AM,corymbose,-4.753242852,0,4_5
161,AM,corymbose,-4.246784207,0,4_5
163,AM,corymbose,-3.768604053,0,4_5
164,AM,corymbose,-5.259911235,0,4_5
165,AM,corymbose,-5.382663447,0,4_5
166,AM,corymbose,-3.714871764,0,4_5
167,AM,corymbose,-2.773525562,0,4_5
168,AM,corymbose,-4.052322324,0,4_5
169,AM,corymbose,-2.964349583,0,4_5
170,AM,corymbose,-2.902105369,0,4_5
172,AM,corymbose,-3.513456266,1,4_5
173,AM,corymbose,-3.542829146,0,4_5
174,AM,corymbose,-1.975180135,0,4_5
175,AM,corymbose,-3.514808001,0,4_5
177,AM,corymbose,-3.570541164,1,4_5
178,AM,corymbose,-3.503252957,0,4_5
179,AM,corymbose,-3.44116923,0,4_5
182,AM,corymbose,-4.058870638,0,4_5
183,AM,corymbose,-3.785791191,0,4_5
184,AM,corymbose,-3.914965916,0,4_5
185,AM,corymbose,-4.76643024,1,4_5
186,AM,corymbose,-3.851813885,0,4_5
187,AM,corymbose,-3.259349199,0,4_5
188,AM,corymbose,-3.576008907,0,4_5
160,AM,corymbose,-4.821205608,0,5_6
161,AM,corymbose,-3.702094383,0,5_6
163,AM,corymbose,-3.805141052,1,5_6
164,AM,corymbose,-6.001294208,0,5_6
165,AM,corymbose,-5.491031134,0,5_6
166,AM,corymbose,-3.501105497,0,5_6
167,AM,corymbose,-2.569615305,1,5_6
