colony_id,spp,species,year,area_cm2,surv
298,GP,Goniastrea pectinata,2011,62.85580461,1
298,GP,Goniastrea pectinata,2012,132.2009858,1
298,GP,Goniastrea pectinata,2013,141.7379975,1
298,GP,Goniastrea pectinata,2014,183.5164187,0
299,GP,Goniastrea pectinata,2009,90.38440947,1
299,GP,Goniastrea pectinata,2010,79.46374281,1
299,GP,Goniastrea pectinata,2011,81.67108611,1
299,GP,Goniastrea pectinata,2012,93.30306877,1
299,GP,Goniastrea pectinata,2013,88.55914872,1
299,GP,Goniastrea pectinata,2014,55.44464701,0
300,GP,Goniastrea pectinata,2009,25.72806546,1
300,GP,Goniastrea pectinata,2010,27.35557012,1
300,GP,Goniastrea pectinata,2011,15.98160608,1
300,GP,Goniastrea pectinata,2012,27.1107021,1
300,GP,Goniastrea pectinata,2013,27.39268748,1
300,GP,Goniastrea pectinata,2014,26.17118646,0
301,GP,Goniastrea pectinata,2009,74.86288967,1
301,GP,Goniastrea pectinata,2010,105.6269475,1
301,GP,Goniastrea pectinata,2011,72.38512779,1
301,GP,Goniastrea pectinata,2012,62.99566291,1
301,GP,Goniastrea pectinata,2013,61.50901641,1
301,GP,Goniastrea pectinata,2014,48.6633461,0
302,GP,Goniastrea pectinata,2009,58.22628428,1
302,GP,Goniastrea pectinata,2010,56.4777267,1
302,GP,Goniastrea pectinata,2011,75.69621687,1
302,GP,Goniastrea pectinata,2012,91.25165458,1
302,GP,Goniastrea pectinata,2013,82.83707677,1
302,GP,Goniastrea pectinata,2014,89.61695585,0
303,GP,Goniastrea pectinata,2009,21.47870311,0
304,GP,Goniastrea pectinata,2009,78.92014642,1
304,GP,Goniastrea pectinata,2010,64.9405842,1
304,GP,Goniastrea pectinata,2011,87.49573481,1
304,GP,Goniastrea pectinata,2012,106.5824831,1
304,GP,Goniastrea pectinata,2013,86.2770103,0
305,GP,Goniastrea pectinata,2009,125.6294452,1
305,GP,Goniastrea pectinata,2010,120.2407027,1
305,GP,Goniastrea pectinata,2011,141.5762551,1
305,GP,Goniastrea pectinata,2012,164.2601328,1
305,GP,Goniastrea pectinata,2013,135.2679316,1
305,GP,Goniastrea pectinata,2014,125.494192,0
306,GP,Goniastrea pectinata,2009,52.74295556,1
306,GP,Goniastrea pectinata,2010,66.05771294,1
306,GP,Goniastrea pectinata,2011,97.04843463,1
306,GP,Goniastrea pectinata,2012,93.87029171,1
306,GP,Goniastrea pectinata,2013,92.9543067,1
306,GP,Goniastrea pectinata,2014,111.2699936,0
307,GP,Goniastrea pectinata,2009,170.7665392,1
307,GP,Goniastrea pectinata,2010,186.6184952,1
307,GP,Goniastrea pectinata,2011,166.9309467,1
307,GP,Goniastrea pectinata,2012,70.25715378,1
307,GP,Goniastrea pectinata,2013,51.74280471,1
307,GP,Goniastrea pectinata,2014,35.12955437,0
308,GP,Goniastrea pectinata,2009,53.92210664,1
308,GP,Goniastrea pectinata,2010,75.87992122,1
308,GP,Goniastrea pectinata,2011,66.63465754,1
308,GP,Goniastrea pectinata,2012,65.20584173,1
308,GP,Goniastrea pectinata,2013,90.64689567,1
308,GP,Goniastrea pectinata,2014,122.8841705,0
309,GP,Goniastrea pectinata,2009,16.83845755,1
309,GP,Goniastrea pectinata,2010,43.52420341,1
309,GP,Goniastrea pectinata,2011,25.37133874,0
310,GP,Goniastrea pectinata,2009,80.67647522,1
310,GP,Goniastrea pectinata,2010,108.2006206,1
310,GP,Goniastrea pectinata,2011,118.8111196,0
311,GP,Goniastrea pectinata,2009,71.02087864,1
311,GP,Goniastrea pectinata,2010,103.3857341,1
311,GP,Goniastrea pectinata,2011,66.42964006,1
311,GP,Goniastrea pectinata,2012,103.1270512,1
311,GP,Goniastrea pectinata,2013,128.4214686,1
311,GP,Goniastrea pectinata,2014,135.1293376,0
312,GP,Goniastrea pectinata,2009,69.24084155,1
312,GP,Goniastrea pectinata,2010,67.09065789,1
312,GP,Goniastrea pectinata,2011,55.01052122,1
312,GP,Goniastrea pectinata,2012,36.69798403,1
312,GP,Goniastrea pectinata,2013,34.50180192,1
312,GP,Goniastrea pectinata,2014,27.49415493,0
313,GP,Goniastrea pectinata,2009,67.64654557,1
313,GP,Goniastrea pectinata,2010,77.70339166,1
313,GP,Goniastrea pectinata,2011,80.59264822,1
313,GP,Goniastrea pectinata,2012,94.13522046,1
313,GP,Goniastrea pectinata,2013,79.5125431,1
313,GP,Goniastrea pectinata,2014,105.4363681,0
314,GP,Goniastrea pectinata,2009,254.8669081,1
314,GP,Goniastrea pectinata,2010,220.727991,1
314,GP,Goniastrea pectinata,2011,218.3900908,1
314,GP,Goniastrea pectinata,2012,222.9531527,1
314,GP,Goniastrea pectinata,2013,210.673385,1
314,GP,Goniastrea pectinata,2014,188.816547,0
315,GP,Goniastrea pectinata,2009,98.30731153,1
315,GP,Goniastrea pectinata,2010,109.9939837,1
315,GP,Goniastrea pectinata,2011,105.0057216,1
315,GP,Goniastrea pectinata,2012,131.2982205,1
315,GP,Goniastrea pectinata,2013,91.94901854,1
315,GP,Goniastrea pectinata,2014,107.7692583,1
315,GP,Goniastrea pectinata,2015,68.44062052,NA
316,GP,Goniastrea pectinata,2009,70.7614948,1
316,GP,Goniastrea pectinata,2010,102.3660599,1
316,GP,Goniastrea pectinata,2011,121.3079181,0
318,GP,Goniastrea pectinata,2009,121.158768,1
318,GP,Goniastrea pectinata,2010,154.8528442,1
318,GP,Goniastrea pectinata,2011,137.0587668,1
318,GP,Goniastrea pectinata,2012,166.5167385,1
318,GP,Goniastrea pectinata,2013,30.53267808,1
318,GP,Goniastrea pectinata,2014,37.58383226,0
319,GP,Goniastrea pectinata,2009,56.05761475,1
319,GP,Goniastrea pectinata,2010,59.94984324,1
319,GP,Goniastrea pectinata,2011,49.93008589,1
319,GP,Goniastrea pectinata,2012,16.61242816,1
319,GP,Goniastrea pectinata,2013,22.89481566,1
319,GP,Goniastrea pectinata,2014,24.53792086,0
320,GP,Goniastrea pectinata,2009,7.277044089,0
321,GP,Goniastrea pectinata,2009,63.5143633,1
321,GP,Goniastrea pectinata,2010,63.37004983,1
321,GP,Goniastrea pectinata,2011,50.7767582,1
321,GP,Goniastrea pectinata,2012,67.92425445,1
321,GP,Goniastrea pectinata,2013,6.495810448,1
