"","spp","samp","lam"
"268","Ahy",25,1.75243857880874
"269","Ain",25,1.21327912531844
"270","Ami",25,0.672169570959377
"271","Ana",25,0.75961655170015
"272","Aro",25,1.04320841896398
"273","Asp",25,1.26581899262763
"274","Gpe",25,0.94694021088188
"275","Gre",25,0.988727642206915
"276","Acy",26,1.5222761457824
"277","Adi",26,0.998308108018279
"278","Ahu",26,0.875556845231363
"279","Ahy",26,1.77769589726965
"280","Ain",26,1.14338975124374
"281","Ami",26,0.651452406304722
"282","Ana",26,0.734511705502691
"283","Aro",26,1.06582183272366
"284","Asp",26,1.15121629276751
"285","Gpe",26,1.11431740569331
"286","Gre",26,0.98208065675711
"287","Acy",27,1.51329516687292
"288","Adi",27,0.975861156549056
"289","Ahu",27,0.884920070707134
"290","Ahy",27,1.67858952557849
"291","Ain",27,1.22522470486288
"292","Ami",27,0.667188265976513
"293","Ana",27,0.726468442038731
"294","Aro",27,1.06325372702109
"295","Asp",27,1.16674361141578
"296","Gpe",27,0.962511265399082
"297","Gre",27,1.04163330494786
"298","Acy",28,1.5165304049304
"299","Adi",28,0.952807152521721
"300","Ahu",28,0.910585836342906
"301","Ahy",28,1.7655222518669
"302","Ain",28,0.95985724572575
"303","Ami",28,0.673333233153221
"304","Ana",28,0.762370323938274
"305","Aro",28,1.05990279205156
"306","Asp",28,1.07992049892004
"307","Gpe",28,0.944840520719532
"308","Gre",28,1.04302144941686
"309","Acy",29,1.39853562076921
"310","Adi",29,0.89806843065122
"311","Ahu",29,0.912387319213974
"312","Ahy",29,1.82889036761152
"313","Ain",29,1.32369686968518
"314","Ami",29,0.611204533430352
"315","Ana",29,0.758522886814511
"316","Aro",29,1.03297413447453
"317","Asp",29,1.17366935608416
"318","Gpe",29,0.950688075438755
"319","Gre",29,1.00728148812345
"320","Acy",30,1.42664431208184
"321","Adi",30,0.950670531034685
"322","Ahu",30,0.876145124092068
"323","Ahy",30,1.86158559742061
"324","Ain",30,1.26017898138838
"325","Ami",30,0.590747754221309
"326","Ana",30,0.751749735451393
"327","Aro",30,1.06770940047073
"328","Asp",30,1.39222458718309
"329","Gpe",30,0.949590274258873
"330","Gre",30,1.01558766403143
"331","Acy",31,1.49195853253457
"332","Adi",31,0.94616630182337
"333","Ahu",31,0.914897221805555
"334","Ahy",31,1.73647063089802
"335","Ain",31,1.15352404140762
"336","Ami",31,0.687103519234187
"337","Ana",31,0.742946995340033
"338","Aro",31,1.05690636842776
"339","Asp",31,1.18869562997523
"340","Gpe",31,0.951202497433291
"341","Gre",31,1.06607460690393
"342","Acy",32,1.4438295385855
"343","Adi",32,1.06066864602908
"344","Ahu",32,0.88667972284384
"345","Ahy",32,1.78175279166224
"346","Ain",32,1.34641697764224
"347","Ami",32,0.62615932565747
"348","Ana",32,0.739528799584999
"349","Aro",32,1.13460694635085
"350","Asp",32,1.19405145673207
"351","Gpe",32,0.942594630849209
"352","Gre",32,1.00196559871031
"353","Acy",33,1.60329351493508
"354","Adi",33,1.08545463666527
"355","Ahu",33,0.896940415791853
"356","Ahy",33,1.73546924080919
"357","Ain",33,1.28314140050713
"358","Ami",33,0.637620765573517
"359","Ana",33,0.745591905818418
"360","Aro",33,1.04918411647814
"361","Asp",33,1.17403763682076
"362","Gpe",33,0.959176948359451
"363","Gre",33,1.03496126975971
"364","Acy",34,1.49145451215463
"365","Adi",34,0.928488708819285
"366","Ahu",34,0.885290172808429
"367","Ahy",34,1.84958580098722
"368","Ain",34,1.21741753378661
"369","Ami",34,0.699995014684169
"370","Ana",34,0.767719870380894
"371","Aro",34,1.14013366598195
"372","Asp",34,1.16368239113728
"373","Gpe",34,0.949225816452753
"374","Gre",34,0.975361790528985
"375","Acy",35,1.44736619260551
"376","Adi",35,0.938076852433514
"377","Ahu",35,0.883345307353283
"378","Ahy",35,1.74052119393935
"379","Ain",35,1.25848930881549
"380","Ami",35,0.661982480082124
"381","Ana",35,0.749789955081123
"382","Aro",35,1.0852805697539
"383","Asp",35,1.02634614896896
"384","Gpe",35,0.954359898910533
"385","Gre",35,1.02619566479403
"386","Acy",36,1.43655956110942
"387","Adi",36,0.998571519392675
"388","Ahu",36,0.868618806072312
"389","Ahy",36,1.75882359364752
"390","Ain",36,1.19971579335514
"391","Ami",36,0.69430716243768
